datetime,username,channel,message
2022-04-26T11:13:10.843778,caslty,#thebausffs,leTroll
2022-04-26T11:13:11.000439,ceoooooo1,#thebausffs,:  Leanin
2022-04-26T11:13:11.000602,ghos7rider00,#thebausffs,Copege
2022-04-26T11:13:11.000733,modusponens112,#thebausffs,LULW WHO IS HE TALKING TO??
2022-04-26T11:13:12.199602,neilhymantft,#thebausffs,"📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN 📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN 📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN . 📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN 📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN 📞 Yoking HELLO, FAKER? YES HE IS DOING IT AGAIN ."
2022-04-26T11:13:12.356143,ethershulk,#thebausffs,Kappa
2022-04-26T11:13:12.512798,fennilu,#thebausffs,CatJAM
2022-04-26T11:13:12.669396,nickgadjee,#thebausffs,monkaW SHILL BAUS SHILL
2022-04-26T11:13:12.669539,xhonisins,#thebausffs,Kappa
2022-04-26T11:13:12.826125,danip_14,#thebausffs,Kappa
2022-04-26T11:13:13.012474,jankos_soulmate,#thebausffs,BAN ALL SION USERS
2022-04-26T11:10:48.987138,not_a_bonobo_,#thebausffs,for real?
2022-04-26T11:10:48.987295,mateusz_potrafisz,#thebausffs,oops TROLL
2022-04-26T11:10:48.987417,ken10488,#thebausffs,Troll
2022-04-26T11:10:49.143884,nottoobadaye,#thebausffs,:tf:
2022-04-26T11:10:49.144146,faiz_7331,#thebausffs,He's after u @Thebausffs  LULW
2022-04-26T11:10:49.300499,ziojoepie,#thebausffs,he mad? :D
2022-04-26T11:10:49.300733,r4v1e,#thebausffs,Aware
2022-04-26T11:10:49.300908,nui3ek,#thebausffs,MONIKEEEEE
2022-04-26T11:10:49.494687,snah__,#thebausffs,Aware
2022-04-26T11:10:49.651318,lax_x1,#thebausffs,TrollDespair the wukong
2022-04-26T11:10:49.651525,unos,#thebausffs,BigBrother
2022-04-26T11:10:49.807867,karrbonkel,#thebausffs,lekkerXD
2022-04-26T11:10:51.111367,vini_santoss,#thebausffs,probably trolling
2022-04-26T11:10:51.267953,dipdart,#xqcow,!smp
2022-04-26T11:10:51.268016,real_sea_doge,#thebausffs,faker sends his regards leTroll faker sends his regards leTroll faker sends his regards leTroll
2022-04-26T11:10:51.424515,fibynib,#thebausffs,leTroll
2022-04-26T11:10:51.581130,triggeredoverpixels,#thebausffs,leTroll
2022-04-26T11:10:51.856406,logicshotgm,#thebausffs,From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp From the pest of West to beast of the East PogChamp
2022-04-26T11:10:54.077084,ewidz,#thebausffs,Aware
2022-04-26T11:10:57.022527,gherkinz,#thebausffs,faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends hisregards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR faker sends his regards DESPAIR
2022-04-26T11:10:57.022688,shinoo_,#thebausffs,I WONDER WHY leTroll
2022-04-26T11:10:57.022831,silvan_007,#thebausffs,letroll
2022-04-26T11:10:57.022957,posi96,#thebausffs,he got stolen drake
2022-04-26T11:10:57.228709,ajstorm,#thebausffs,Revenge leTroll
2022-04-26T11:10:57.385291,m7jd33,#thebausffs,hes mad about last game
2022-04-26T11:10:58.040823,jankos_soulmate,#thebausffs,ping wukong
2022-04-26T11:10:58.342154,konkous,#thebausffs,:tf:
2022-04-26T11:10:58.498856,dr___vanilla,#thebausffs,JUST FOR YOU FLUSH
2022-04-26T11:10:58.773930,natashaotti,#thebausffs,!song
2022-04-26T11:10:56.075246,1jijing1,#thebausffs,leTroll
2022-04-26T11:10:56.075405,me_nub_,#thebausffs,bets modcheck?
2022-04-26T11:10:56.075535,tsui0,#thebausffs,leTroll  󠀀
2022-04-26T11:10:56.075653,moha_5143,#thebausffs,OMEGALUL
